player_name,date_of_birth,position,nationality,image_url,age
Mattia Cassani,1983-08-26,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/21859-1448964796.jpg?lm=1,32
Édgar Osvaldo Barreto Cáceres,1984-07-15,Midfielder,Paraguay,https://img.a.transfermarkt.technology/portrait/medium/16120-1448965155.jpg?lm=1,31
Luis Fernando Muriel Fruto,1991-04-16,Attacker,Colombia,https://img.a.transfermarkt.technology/portrait/medium/119228-1740780590.jpg?lm=1,25
Emiliano Viviano,1985-12-01,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/24316-1665671190.png?lm=1,30
Matías Agustín Silvestre,1984-09-25,Defender,Argentina,https://img.a.transfermarkt.technology/portrait/medium/20003-1635891092.jpg?lm=1,31
Antonio Cassano,1982-07-12,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/5962-1448965838.jpg?lm=1,33
Paweł Wszołek,1992-04-30,Attacker,Poland,https://img.a.transfermarkt.technology/portrait/medium/164759-1677703476.png?lm=1,24
Angelo Palombo,1981-09-25,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/6793-1448965403.jpg?lm=1,34
Niklas Moisander,1985-09-29,Defender,Finland,https://img.a.transfermarkt.technology/portrait/medium/5017-1535124028.jpg?lm=1,30
Pedro Miguel Almeida Lopes Pereira,1998-01-22,Midfielder,Portugal,https://img.a.transfermarkt.technology/portrait/medium/314965-1725528497.jpg?lm=1,18
Carlos Joaquín Correa,1994-08-13,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/227081-1724826843.jpg?lm=1,21
Alejandro Miguel Rodriguez,1991-07-30,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/169533-1602089331.jpg?lm=1,24
Lazaros Christodoulopoulos,1986-12-19,Attacker,Greece,https://img.a.transfermarkt.technology/portrait/medium/34283-1728934213.jpg?lm=1,29
Djamel Eddine Mesbah,1984-10-09,Defender,Algeria,https://img.a.transfermarkt.technology/portrait/medium/17735-1448965006.jpg?lm=1,31
Michele Rocca,1996-02-06,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/257118-1665738968.png?lm=1,20
Carlos Mario Carbonero Mancilla,1990-07-25,Midfielder,Colombia,https://img.a.transfermarkt.technology/portrait/medium/136605-1448965264.jpg?lm=1,25
Federico Bonazzoli,1997-05-21,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/241527-1692962795.jpg?lm=1,19
Lorenzo De Silvestri,1988-05-23,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/33571-1595929290.jpg?lm=1,28
Ricardo Gabriel Álvarez,1988-04-12,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/76077-1638748437.JPG?lm=1,28
José Rodolfo Pires Ribeiro,1992-02-06,Goalkeeper,Brazil,https://img.a.transfermarkt.technology/portrait/medium/109038-1662403413.jpg?lm=1,24
Jacopo Sala,1991-12-05,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/96806-1602507062.jpg?lm=1,24
Modibo Diakité,1987-03-02,Defender,Mali,https://img.a.transfermarkt.technology/portrait/medium/41749-1449138062.jpg?lm=1,29
Fabio Quagliarella,1983-01-31,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/22328-1630591208.jpg?lm=1,33
Nenad Krstičić,1990-07-03,Midfielder,Serbia,https://img.a.transfermarkt.technology/portrait/medium/56790-1663922765.jpg?lm=1,25
Milan Škriniar,1995-02-11,Defender,Slovakia,https://img.a.transfermarkt.technology/portrait/medium/204069-1738665259.png?lm=1,21
Alberto Brignoli,1991-08-19,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/146799-1728414729.png?lm=1,24
Andrés Fabián Ponce Núñez,1996-11-11,Attacker,Ecuador,https://img.a.transfermarkt.technology/portrait/medium/308256-1721403631.jpg?lm=1,19
Maximiliano Gastón López,1984-04-03,Attacker,Argentina,https://img.a.transfermarkt.technology/portrait/medium/26263-1455551261.jpg?lm=1,32
Alessandro Gazzi,1983-01-28,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/28827-1536479647.jpg?lm=1,33
Nikola Maksimović,1991-11-25,Defender,Serbia,https://img.a.transfermarkt.technology/portrait/medium/124715-1696432924.png?lm=1,24
Emiliano Moretti,1981-06-11,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/5755-1419247542.jpg?lm=1,35
Danilo Fernando Avelar,1989-06-09,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/140748-1448968398.jpg?lm=1,27
Daniele Baselli,1992-03-12,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/134883-1630509123.jpg?lm=1,24
Kamil Glik,1988-02-03,Defender,Poland,https://img.a.transfermarkt.technology/portrait/medium/46552-1697367546.png?lm=1,28
Bruno da Silva Peres,1990-03-01,Defender,Brazil,https://img.a.transfermarkt.technology/portrait/medium/148751-1630526671.png?lm=1,26
Daniele Padelli,1985-10-25,Goalkeeper,Italy,https://img.a.transfermarkt.technology/portrait/medium/27807-1630653305.jpg?lm=1,30
Marco Benassi,1994-09-08,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/201040-1644233941.jpg?lm=1,21
Josef Alexander Martínez Mencia,1993-05-19,Attacker,Venezuela,https://img.a.transfermarkt.technology/portrait/medium/162569-1740595401.jpg?lm=1,23
Afriyie Acquah,1992-01-05,Midfielder,Ghana,https://img.a.transfermarkt.technology/portrait/medium/145581-1612444957.jpeg?lm=1,24
Giuseppe Vives,1980-07-14,Midfielder,Italy,https://img.a.transfermarkt.technology/portrait/medium/42345-1500355297.jpg?lm=1,35
Andrea Belotti,1993-12-20,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/167727-1663581136.jpg?lm=1,22
Cristian Molinaro,1983-07-30,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/21972-1448968467.jpg?lm=1,32
Joel Chukwuma Obi,1991-05-22,Midfielder,Nigeria,https://img.a.transfermarkt.technology/portrait/medium/45581-1630590262.jpg?lm=1,25
Cesare Bovo,1983-01-14,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/5946-1538202342.jpg?lm=1,33
Pontus Jansson,1991-02-13,Defender,Sweden,https://img.a.transfermarkt.technology/portrait/medium/125314-1448968200.jpg?lm=1,25
Davide Zappacosta,1992-06-11,Defender,Italy,https://img.a.transfermarkt.technology/portrait/medium/173859-1661268432.jpg?lm=1,24
Gastón Alexis Silva Perdomo,1994-03-05,Defender,Uruguay,https://img.a.transfermarkt.technology/portrait/medium/189452-1742487220.jpg?lm=1,22
Sanjin Prcić,1993-11-20,Midfielder,Bosnia and Herzegovina,https://img.a.transfermarkt.technology/portrait/medium/125783-1676911212.jpg?lm=1,22
Amauri Carvalho de Oliveira,1980-06-03,Attacker,Brazil,https://img.a.transfermarkt.technology/portrait/medium/6234-1495724417.jpg?lm=1,36
Ciro Immobile,1990-02-20,Attacker,Italy,https://img.a.transfermarkt.technology/portrait/medium/105521-1727355739.png?lm=1,26
